"TimeStamp","axis1","axis2","axis3","steps","lux","inclineOff","inclineStanding","inclineSitting","inclineLying","vm"
2018-01-20 08:38:00,55,157,308,3,0,0,8,2,0,351
2018-01-20 08:38:10,18,217,201,1,0,0,6,4,0,297
2018-01-20 08:38:20,0,14,0,0,0,0,10,0,0,14
2018-01-20 08:38:30,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:38:40,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:38:50,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:39:00,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:39:10,0,12,0,0,0,0,10,0,0,12
2018-01-20 08:39:20,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:39:30,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:39:40,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:39:50,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:40:00,0,7,0,0,0,0,10,0,0,7
2018-01-20 08:40:10,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:40:20,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:40:30,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:40:40,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:40:50,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:41:00,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:41:10,0,19,0,0,0,0,10,0,0,19
2018-01-20 08:41:20,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:41:30,0,39,0,0,0,0,10,0,0,39
2018-01-20 08:41:40,0,11,0,0,0,0,10,0,0,11
2018-01-20 08:41:50,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:42:00,0,14,0,0,0,0,10,0,0,14
2018-01-20 08:42:10,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:42:20,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:42:30,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:42:40,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:42:50,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:43:00,1,0,47,1,0,0,10,0,0,48
2018-01-20 08:43:10,40,152,259,1,0,0,5,5,0,303
2018-01-20 08:43:20,49,199,344,3,0,0,9,1,0,401
2018-01-20 08:43:30,30,128,183,2,0,0,10,0,0,226
2018-01-20 08:43:40,0,63,10,0,0,0,9,1,0,64
2018-01-20 08:43:50,2,91,115,0,0,0,7,3,0,147
2018-01-20 08:44:00,8,84,119,2,0,0,10,0,0,146
2018-01-20 08:44:10,0,0,0,0,0,0,10,0,0,0
2018-01-20 08:44:20,120,161,363,0,0,0,10,0,0,415
2018-01-20 08:44:30,105,197,185,1,0,0,10,0,0,290
2018-01-20 08:44:40,6,48,139,0,0,0,5,5,0,148
2018-01-20 08:44:50,26,87,159,1,0,0,9,1,0,184
2018-01-20 08:45:00,0,27,44,0,0,0,10,0,0,52
2018-01-20 08:45:10,0,10,23,0,0,0,10,0,0,26
2018-01-20 08:45:20,0,3,93,0,0,0,10,0,0,94
2018-01-20 08:45:30,0,16,86,0,0,0,10,0,0,88
2018-01-20 08:45:40,0,0,0,0,0,0,9,1,0,0
2018-01-20 08:45:50,0,34,69,0,0,0,10,0,0,77
2018-01-20 08:46:00,0,98,96,0,0,0,7,3,0,138
2018-01-20 08:46:10,4,32,175,0,0,0,6,4,0,178
2018-01-20 08:46:20,1,135,184,0,0,0,1,9,0,229
2018-01-20 08:46:30,75,248,407,4,0,0,10,0,0,483
2018-01-20 08:46:40,0,39,49,0,0,0,10,0,0,63
2018-01-20 08:46:50,0,26,34,0,0,0,10,0,0,43
2018-01-20 08:47:00,35,83,275,1,0,0,4,6,0,290
2018-01-20 08:47:10,18,67,109,0,0,0,5,5,0,130
2018-01-20 08:47:20,26,69,157,0,0,0,3,7,0,174
2018-01-20 08:47:30,0,7,33,0,0,0,10,0,0,34
2018-01-20 08:47:40,0,86,118,0,0,0,8,2,0,147
2018-01-20 08:47:50,0,25,65,0,0,0,7,3,0,70
2018-01-20 08:48:00,0,29,36,0,0,0,10,0,0,47
2018-01-20 08:48:10,5,93,422,0,0,0,10,0,0,433
2018-01-20 08:48:20,0,10,7,0,0,0,10,0,0,13
2018-01-20 08:48:30,0,20,37,0,0,0,10,0,0,43
2018-01-20 08:48:40,0,112,25,0,0,0,7,3,0,115
2018-01-20 08:48:50,0,22,0,0,0,0,10,0,0,22
2018-01-20 08:49:00,0,26,45,0,0,0,10,0,0,52
2018-01-20 08:49:10,0,25,14,0,0,0,9,1,0,29
2018-01-20 08:49:20,0,52,215,0,0,0,8,2,0,222
2018-01-20 08:49:30,0,25,25,0,0,0,10,0,0,36
2018-01-20 08:49:40,11,84,144,1,0,0,10,0,0,168
2018-01-20 08:49:50,7,155,159,0,0,0,10,0,0,223
2018-01-20 08:50:00,0,4,22,0,0,0,10,0,0,23
2018-01-20 08:50:10,0,20,72,0,0,0,10,0,0,75
2018-01-20 08:50:20,0,6,8,0,0,0,10,0,0,10
2018-01-20 08:50:30,0,15,90,0,0,0,10,0,0,92
2018-01-20 08:50:40,0,80,244,0,0,0,9,1,0,257
2018-01-20 08:50:50,0,29,48,0,0,0,10,0,0,57
2018-01-20 08:51:00,0,7,82,0,0,0,10,0,0,83
2018-01-20 08:51:10,0,42,57,0,0,0,10,0,0,71
2018-01-20 08:51:20,6,18,65,0,0,0,9,1,0,68
2018-01-20 08:51:30,0,75,65,0,0,0,10,0,0,100
2018-01-20 08:51:40,0,9,63,0,0,0,10,0,0,64
2018-01-20 08:51:50,2,60,263,0,0,0,10,0,0,270
2018-01-20 08:52:00,59,296,342,2,0,0,4,6,0,457
2018-01-20 08:52:10,13,41,156,0,0,0,10,0,0,162
2018-01-20 08:52:20,0,68,169,0,0,0,10,0,0,183
2018-01-20 08:52:30,3,38,258,0,0,0,10,0,0,261
2018-01-20 08:52:40,0,61,123,0,0,0,2,8,0,138
2018-01-20 08:52:50,42,103,343,3,0,0,7,3,0,361
2018-01-20 08:53:00,0,53,141,0,0,0,3,7,0,151
2018-01-20 08:53:10,9,56,318,0,0,0,9,1,0,324
2018-01-20 08:53:20,0,0,0,0,0,0,8,2,0,0
2018-01-20 08:53:30,77,115,135,3,0,0,10,0,0,194
2018-01-20 08:53:40,53,185,199,2,0,0,7,3,0,277
